word	source_pages
амыҡ	gram/morphol/prilag/maloprodaffi.htm
анламаным	gram/zvuk/udar.htm
антай	gram/zvuk/izmen.htm
ап-ары	gram/morphol/narechie/sravnitstepen.htm
ап-аҙ	gram/morphol/narechie/sravnitstepen.htm
апан	gram/zvuk/gubn.htm
аппаҡ	gram/zvuk/udar.htm
ар-ты	gram/zvuk/slog.htm
ара-тира	gram/morphol/narechie/slovosloj.htm
араҡ	gram/syntax/predlojenie/skazuem.htm
аркылы	gram/morphol/poslelogi/obchchar.htm
арла	gram/morphol/vvodzam.htm
артис-ы	gram/alfavit/princpisma.htm;gram/fonomorph/fonproc.htm;gram/zvuk/slog.htm
артискаһы	gram/syntax/predlojenie/tipypredl/slojnpredl/period.htm
ары-м-тал	gram/morphol/vvodzam7.htm
арҙансылыҡ	gram/morphol/suchestv/affik.htm
ас-һаң	gram/zvuk/izmen.htm
асаҡ	gram/alfavit/princpisma.htm;gram/morphol/glagol/naklonsoslag.htm;gram/morphol/glagol/prichbudvr.htm
асфалътһеҙ	gram/morphol/prilag/prodaffi.htm
атайман	gram/morphol/poslelogi/obchchar.htm
атка	gram/syntax/predlojenie/tipypredl/slojnpredl/bessouzslojnosochpredl.htm
аумаһыр	gram/morphol/prilag/maloprodaffi.htm
аумәһәр	gram/morphol/prilag/maloprodaffi.htm
африканец	gram/syntax/predlojenie/odnorpodlej.htm
афф	gram/morphol/suchestv/grammkatsych/vinpadez.htm
аша-т	gram/fonomorph/fonproc.htm
ашаб	gram/zvuk/gubn2.htm
ашуҡ	gram/zvuk/glzr.htm
ағ-ар	gram/fonomorph/fonproc.htm
ағ-ыл-йым	gram/morphol/prilag/formyusil.htm
ағ-ыраҡ	gram/alfavit/sovbashalf.htm
ағайың-дыҡы	gram/morphol/suchestv/grammkatsych/katprinad.htm
ағас-м-ағас	gram/fonomorph/zvizmprired.htm
ағасъянаҡ	gram/morphol/suchestv/parsych.htm
ағач	gram/zvuk/per.htm
аҙыҡтамыр	gram/zvuk/udar.htm
аҡа	gram/morphol/prilag/slojaffi.htm
аҡса-лата	gram/fonomorph/fonproc.htm
аҡшин	gram/morphol/prilag/formyusil.htm
аҡыл-лы	gram/fonomorph/fonproc.htm
аң-белем-ле	gram/morphol/vvodzam.htm
аңа	gram/morphol/mestoim/ukazmestoim.htm
аңлашмаусылыҡ	gram/morphol/suchestv/affik.htm
аһхтамал	gram/zvuk/farin1.htm
бЕренсе	gram/zvuk/udar.htm
ба-ла-лар-ҙы-ҡы	gram/zvuk/udar.htm
бабуа	gram/zvuk/gubn.htm
бадруҡ	gram/zvuk/sredneyaz.htm
бай-ы	gram/zvuk/zv1.html
бай-ҙы	gram/fonomorph/fonproc.htm
байтом	gram/morphol/narechie/kornevye.htm
байуҡ	gram/morphol/narechie/slovosloj.htm
бал-ды	gram/fonomorph/fonproc.htm
балА	gram/zvuk/udar.htm
бала-лар-ым-ды	gram/morphol/vvodzam.htm
бала-лар-ҙы	gram/morphol/suchestv/grammkatsych/chislo.htm
бала-лыр	gram/fonomorph/fonproc.htm
бала-ның	gram/fonomorph/fonproc.htm
балалАр	gram/zvuk/udar.htm
балаларғА	gram/zvuk/udar.htm
баламһыҙ	gram/morphol/suchestv/grammkatsych/katskaz.htm
балки	gram/morphol/modslova/modslovagipotet.htm
балман	gram/morphol/poslelogi/obchchar.htm
балығ	gram/zvuk/zadneyaz.htm
бальнис	gram/zvuk/sog2.htm
бальнитса	gram/zvuk/sog2.htm
балҡалаҡ	gram/morphol/suchestv/parsych.htm
банк-ы-ға	gram/alfavit/princpisma.htm
бар-а-м	gram/fonomorph/fonproc.htm
бар-асаҡ	gram/fonomorph/fonproc.htm
бар-гас	gram/fonomorph/fonproc.htm
бар-ма	gram/fonomorph/fonproc.htm
бар-ма-й	gram/zvuk/slog.htm
бар-ма-ғым	gram/fonomorph/fonproc.htm;gram/zvuk/slog.htm
бар-маҡ	gram/zvuk/slog.htm
бар-ыш	gram/fonomorph/fonproc.htm
бар-ғанһың	gram/fonomorph/fonproc.htm
бар-ҙы	gram/fonomorph/fonproc.htm;gram/zvuk/izmen.htm
бар-ҙым	gram/fonomorph/fonproc.htm
бар-ҙың	gram/fonomorph/fonproc.htm
бар-һа-м	gram/morphol/vvodzam.htm
барма-й-асаҡ	gram/zvuk/sredneyaz.htm
бармалы	gram/morphol/modslova/modslutvotrits.htm
бару	gram/zvuk/glzr.htm
барғантыр	gram/zvuk/izmen.htm
барҡ	gram/morphol/podrajslova/structpodrsl.htm
бау-ҙы	gram/fonomorph/fonproc.htm
бауай	gram/alfavit/princpisma.htm
баш-шыҙ	gram/zvuk/izmen.htm
баш-ы-н-да	gram/fonomorph/fonproc.htm;gram/morphol/suchestv/grammkatsych/katopred.htm
башваткыс	gram/morphol/suchestv/parsych.htm
башка	gram/morphol/poslelogi/obchchar.htm
башкирские	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
башла-н	gram/morphol/glagol/stradzalog.htm;gram/morphol/vvodzam.htm
башлан-ғыс	gram/morphol/vvodzam.htm
баҫ-ынҡы	gram/fonomorph/fonproc.htm
бедүк	gram/zvuk/sredneyaz.htm
без-з	gram/morphol/podrajslova/structpodrsl.htm
белеү-ҙең	gram/fonomorph/fonproc.htm
беләүташ	gram/morphol/suchestv/parsych.htm
бензиндә	gram/syntax/predlojenie/dopolnenie.htm
бер-гә	gram/fonomorph/fonproc.htm
беркөнлөк	gram/morphol/suchestv/affik.htm
беррәү	gram/morphol/chislit/kolchslit.htm
берәү-ҙәр	gram/fonomorph/fonproc.htm
беседа	gram/morphol/poslelogi/posleloguprosnpad.htm
бесперебойный	gram/morphol/prilag/prodaffi.htm
беҙ-гә	gram/zvuk/slog.htm
беҙ-ҙе	gram/zvuk/slog.htm
беҙ-ҙең	gram/zvuk/zadneyaz.htm
беҙҙец	gram/morphol/suchestv/grammkatsych/datpadez.htm
би-шен-се	gram/zvuk/slog.htm
биг-ерәк	gram/zvuk/sog.htm
биз	gram/zvuk/per.htm
билан	gram/morphol/poslelogi/obchchar.htm
бирәклә	gram/morphol/glagol/affiks.htm
бишләгән	gram/morphol/chislit/pribchslit.htm
бишшәү	gram/morphol/chislit/kolchslit.htm
борононда	gram/morphol/vvodzam.htm
бороться	gram/morphol/glagol/vzaimzalog.htm
бороңғо	gram/zvuk/per.htm;gram/zvuk/zadneyaz.htm
боршоҡ	gram/morphol/prilag/maloprodaffi.htm
боҙ-ҙоң	gram/zvuk/izmen.htm
бракҡа	gram/morphol/glagol/obrslojgl.htm
брат	gram/morphol/glagol/obchchar.htm
братва	gram/morphol/glagol/obchchar.htm
братец	gram/morphol/glagol/obchchar.htm
братик	gram/morphol/glagol/obchchar.htm
брошюровать	gram/morphol/glagol/affiks.htm
бу-ға	gram/zvuk/slog.htm
буаҙ	gram/zvuk/glzr.htm
бузағ	gram/zvuk/glzr.htm
булан	gram/morphol/poslelogi/obchchar.htm
буралҡының	gram/morphol/mestoim/voprmestoim.htm
бурағ	gram/zvuk/glzr.htm
бушһа	gram/syntax/slovosochet/narechslovosoch.htm
буғ	gram/zvuk/zv1.html
буғдай	gram/zvuk/sredneyaz.htm
бы-н-да	gram/fonomorph/fonproc.htm
бы-уа	gram/zvuk/slog.htm
бызыр	gram/morphol/podrajslova/structpodrsl.htm
бый	gram/morphol/prilag/maloprodaffi.htm
быйыл-ғы	gram/morphol/vvodzam.htm
было	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
быҙ	algram/such.htm;gram/fonomorph/fonproc.htm;gram/morphol/suchestv/grammkatsych/katprinad.htm;gram/morphol/suchestv/grammkatsych/katskaz.htm
быҙаү	gram/syntax/svyazislov/primykimenn.htm
бың	gram/zvuk/glpr2.htm;gram/zvuk/glzr.htm
бэх	gram/morphol/narechie/lexsostav.htm
бүр	gram/alfavit/princpisma.htm;gram/zvuk/slog.htm
бүрес	gram/morphol/prilag/maloprodaffi.htm
бүрк	gram/alfavit/princpisma.htm;gram/zvuk/glpr.htm;gram/zvuk/sog.htm
бәләсәйе	gram/syntax/svyazislov/sochinsvyaz.htm
бәркән	algram/obchie.htm
бәхетлЕһең	gram/zvuk/udar.htm
бөвүр	gram/zvuk/glpr3.htm
бөг-өл	gram/fonomorph/fonproc.htm
бөгөн-гө	gram/morphol/vvodzam.htm;gram/zvuk/izmen.htm
бөгөңгө	gram/zvuk/izmen.htm
бөкөрәй	gram/morphol/glagol/ponudzalog.htm
бөкөрәйт	gram/morphol/glagol/ponudzalog.htm
бөҙ	gram/morphol/prilag/maloprodaffi.htm;gram/morphol/suchestv/grammkatsych/katprinad.htm;gram/morphol/suchestv/grammkatsych/katskaz.htm
вагон-баня	gram/syntax/predlojenie/prilojenie.htm
вай-ваай	gram/morphol/mejdomet/mejdomet.htm
вағ	gram/zvuk/sog.htm
вертеться	gram/morphol/prilag/maloprodaffi.htm
взял	gram/morphol/glagol/vremyaproshednady.htm
видно	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
власкә	gram/syntax/slovosochet/imenslovosoch.htm
войне	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
восемьдесят	gram/morphol/chislit/obchchar.htm
всему	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
вспомнила	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
вәлүк	gram/alfavit/princpisma.htm
гадар	gram/morphol/poslelogi/obchchar.htm
гастинитса	gram/zvuk/sog2.htm
гастинитсы	gram/zvuk/sog2.htm
гелә	gram/morphol/glagol/katotritc.htm;gram/morphol/glagol/vnutriglaol.htm
генткн	gram/morphol/narechie/lexsostav.htm
герҙәрен	gram/syntax/predlojenie/odnorobstoyat.htm
гес	gram/morphol/prilag/prodaffi.htm;gram/morphol/suchestv/affik.htm
геше	gram/alfavit/princpisma.htm;gram/zvuk/sog.htm;gram/zvuk/zadneyaz.htm
геҙ	gram/fonomorph/fonproc.htm;gram/morphol/glagol/naklonpovel.htm;gram/morphol/glagol/naklonuslov.htm;gram/morphol/suchestv/grammkatsych/katprinad.htm
гиби	gram/morphol/poslelogi/obchchar.htm
гитап	gram/zvuk/sog.htm
главнее	gram/morphol/glagol/obchchar.htm
главнейший	gram/morphol/glagol/obchchar.htm
главный	gram/morphol/glagol/obchchar.htm
гласным	gram/morphol/glagol/vremyanast.htm
глубокий	gram/zvuk/zv1.html
голова	gram/morphol/prilag/maloprodaffi.htm
гражданской	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
грам-ға	gram/alfavit/princpisma.htm;gram/zvuk/slog.htm
графинанан	gram/morphol/glagol/deeprnap.htm
губкомға	gram/morphol/glagol/vremyaproshednady.htm
гэм	gram/morphol/narechie/lexsostav.htm
гэнэт	gram/morphol/narechie/lexsostav.htm
гәдәр	gram/morphol/poslelogi/obchchar.htm
гәйне	gram/morphol/glagol/vremyapredproshnagainy.htm;gram/morphol/vvodzam.htm
гәк	gram/morphol/prilag/obchchar.htm;gram/morphol/prilag/prodaffi.htm
гәләк	gram/morphol/prilag/slojaffi.htm
гән	gram/morphol/chislit/pribchslit.htm;gram/morphol/glagol/imyadeyst.htm;gram/morphol/glagol/katotritc.htm;gram/morphol/glagol/naklonsoslag.htm;gram/morphol/glagol/naklonuslov.htm;gram/morphol/glagol/predmod.htm;gram/morphol/glagol/prichproshvr.htm;gram/morphol/glagol/vremyapredproshnaganbulgan.htm;gram/morphol/glagol/vremyaproshednagan.htm;gram/morphol/prilag/maloprodaffi.htm;gram/morphol/vvodzam.htm;gram/syntax/predlojenie/skazuem.htm;gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatobrdeist.htm;gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatustup.htm;gram/syntax/predlojenie/tipypredl/uslojprostpred.htm
гәнгә	gram/syntax/predlojenie/skazuem.htm
гәндә	gram/morphol/glagol/naklonuslov.htm;gram/syntax/predlojenie/skazuem.htm
гәндәй	gram/syntax/predlojenie/skazuem.htm
гәндән	gram/syntax/predlojenie/skazuem.htm
гәнлектән	gram/syntax/predlojenie/skazuem.htm
гәнсе	gram/morphol/glagol/deeprnagansy.htm;gram/morphol/glagol/katotritc.htm;gram/syntax/predlojenie/obstoyatsrav.htm;gram/syntax/predlojenie/obstoyatstepeni.htm;gram/syntax/predlojenie/skazuem.htm;gram/syntax/predlojenie/tipypredl/uslojprostpred.htm;gram/zvuk/udar.htm
гәнсә	gram/morphol/glagol/deeprnagansa.htm;gram/morphol/glagol/deeprobchchar.htm;gram/morphol/glagol/katotritc.htm;gram/syntax/predlojenie/skazuem.htm;gram/zvuk/udar.htm
гәре	gram/morphol/narechie/kornevye.htm;gram/morphol/narechie/lexsostav.htm
гәс	gram/morphol/glagol/deeprnagas.htm;gram/morphol/glagol/imyadeyst.htm;gram/morphol/glagol/katotritc.htm;gram/morphol/glagol/vremyanast.htm;gram/morphol/morhol1.html;gram/morphol/prilag/stepenisrav.htm;gram/morphol/vvodzam.htm;gram/syntax/predlojenie/obstoyatprich.htm;gram/syntax/predlojenie/skazuem.htm;gram/syntax/predlojenie/tipypredl/slojnpredl/uslojslojpred/slprsneodpridpred2.htm;gram/syntax/slovosochet/glagslovsprimclenfvy.htm
гәсә	gram/morphol/mestoim/ukazmestoim.htm
гөм	gram/morphol/podrajslova/structpodrsl.htm
гөнө	gram/zvuk/sog.htm
гөр-өл-дә	gram/fonomorph/fonproc.htm
гөс	gram/morphol/prilag/prodaffi.htm;gram/morphol/suchestv/affik.htm
гөҙ	gram/morphol/glagol/naklonpovel.htm;gram/morphol/glagol/ponudzalog.htm;gram/morphol/suchestv/grammkatsych/katprinad.htm
даже	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
дай	gram/morphol/glagol/predmod.htm;gram/morphol/prilag/maloprodaffi.htm;gram/morphol/prilag/prodaffi.htm;gram/morphol/prilag/sostavprilag.htm;gram/syntax/predlojenie/obstoyatsrav.htm;gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatsrav.htm;gram/syntax/predlojenie/tipypredl/uslojprostpred.htm;gram/syntax/slovosochet/imenslovosoch.htm;gram/zvuk/izmen.htm;gram/zvuk/udar.htm
далыҡ	gram/morphol/suchestv/affik.htm
дамҡа	gram/zvuk/izmen.htm
даст	gram/morphol/suchestv/affik.htm
дауайлаш	gram/morphol/glagol/vzaimzalog.htm
даш	gram/fonomorph/fonproc.htm;gram/morphol/prilag/prodaffi.htm
дағы	gram/morphol/prilag/obchchar.htm;gram/syntax/predlojenie/dopolnenie.htm;gram/syntax/slovosochet/slojimenslovosoch.htm
даң-ҡ-ыр	gram/morphol/podrajslova/structpodrsl.htm
дебетле	gram/syntax/slovosochet/slojimenslovosoch.htm
девушке	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
дегә-дегә	gram/morphol/podrajslova/zvatslova.htm
деке	gram/morphol/mestoim/pritmestoim.htm;gram/morphol/suchestv/grammkatsych/katprinad.htm;gram/morphol/suchestv/grammkatsych/katskaz.htm
деме	gram/morphol/glagol/katotritc.htm;gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatuslov.htm
дерево	gram/syntax/predlojenie/tipypredl/beslichpred.htm
деңҡ	gram/morphol/podrajslova/structpodrsl.htm
деһер	gram/morphol/podrajslova/structpodrsl.htm
дзар	gram/morphol/suchestv/affik.htm
диаметрально	gram/morphol/prilag/maloprodaffi.htm
дилбәгәһен	gram/morphol/suchestv/grammkatsych/vinpadez.htm
директыр	gram/zvuk/zv11.html
докладчик	gram/alfavit/princpisma.htm
документ-лаштырыл	gram/morphol/glagol/stradzalog.htm
дом	gram/morphol/glagol/obchchar.htm
домик	gram/morphol/glagol/obchchar.htm
домище	gram/morphol/glagol/obchchar.htm
домо	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatuslov.htm
дор	gram/alfavit/princpisma.htm;gram/fonomorph/fonproc.htm;gram/morphol/glagol/ponudzalog.htm;gram/zvuk/zv1.html
доҡо	gram/morphol/suchestv/grammkatsych/katprinad.htm
доңк	gram/morphol/podrajslova/structpodrsl.htm
друг	gram/morphol/glagol/obchchar.htm
другой	gram/morphol/prilag/maloprodaffi.htm
дружище	gram/morphol/glagol/obchchar.htm
дружок	gram/morphol/glagol/obchchar.htm
дур-тен-се	gram/fonomorph/fonproc.htm
дурма	gram/morphol/glagol/deeprnap.htm
дуслығыбыҙҙы	gram/syntax/predlojenie/tipypredl/vosklitspred.htm
дуҫ-тар-ы-ғыҙ-ҙан	gram/morphol/suchestv/grammkatsych/katprinad.htm
дуҫлык	gram/syntax/predlojenie/tipypredl/slojnpredl/period.htm
дыҡлы	gram/morphol/prilag/slojaffi.htm
дыҡы	gram/morphol/mestoim/pritmestoim.htm;gram/morphol/suchestv/grammkatsych/katprinad.htm;gram/morphol/suchestv/grammkatsych/katskaz.htm
дыңғырҙа	gram/morphol/prilag/slojaffi.htm
дыңғырҙауыҡ	gram/morphol/prilag/slojaffi.htm
дэррә	gram/morphol/podrajslova/zvatslova.htm
дҮртенсе	gram/zvuk/udar.htm
дүр-те	gram/zvuk/slog.htm
дүрттәү	gram/morphol/chislit/kolchslit.htm
дүртәү-ләшеп	gram/zvuk/slog.htm
дәге	gram/morphol/prilag/obchchar.htm;gram/syntax/predlojenie/dopolnenie.htm;gram/syntax/slovosochet/slojimenslovosoch.htm
дәй	gram/morphol/glagol/predmod.htm;gram/morphol/prilag/prodaffi.htm;gram/syntax/predlojenie/obstoyatsrav.htm;gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatsrav.htm;gram/syntax/predlojenie/tipypredl/uslojprostpred.htm;gram/zvuk/udar.htm
дән	gram/fonomorph/fonproc.htm;gram/morphol/suchestv/grammkatsych/ishpadez.htm;gram/morphol/suchestv/grammkatsych/padezkat.htm
дәш	gram/morphol/prilag/prodaffi.htm
дөбөрт	gram/morphol/podrajslova/structpodrsl.htm
дөзах	gram/morphol/mejdomet/mejdomet.htm
дөк	gram/morphol/podrajslova/structpodrsl.htm
дөкө	gram/morphol/suchestv/grammkatsych/katprinad.htm
дөрт-дөрт	gram/morphol/podrajslova/structpodrsl.htm
дөяғош	gram/fonomorph/zvukizm.htm
дөңҡ-дөңҡ	gram/morphol/podrajslova/syntfun.htm
ебеҙ	gram/morphol/suchestv/grammkatsych/katprinad.htm
евич	gram/morphol/suchestv/obchar.htm
евна	gram/morphol/suchestv/obchar.htm
евой	gram/morphol/prilag/zaimaffi.htm
евый	gram/morphol/prilag/zaimaffi.htm
егеҙ	gram/morphol/suchestv/grammkatsych/katprinad.htm;gram/morphol/vvodzam.htm;gram/syntax/vvodzam.htm;gram/zvuk/udar.htm
екиз	gram/zvuk/sog.htm
ел-кен	gram/fonomorph/fonproc.htm
елдерек	gram/morphol/vvodzam.htm
елиг	gram/zvuk/glpr.htm
елйем	gram/morphol/prilag/slojaffi.htm
елка	gram/alfavit/princpisma.htm
ель	gram/morphol/prilag/nulaffi.htm
емм	gram/morphol/mejdomet/mejdomet.htm
ерәк	algram/glagol.htm;gram/morphol/glagol/deeprnap.htm;gram/morphol/narechie/sravnitstepen.htm;gram/morphol/prilag/stepenisrav.htm
если	gram/morphol/glagol/modvozm.htm
етемеш	gram/morphol/chislit/obchchar1.htm
еттәү	gram/morphol/chislit/kolchslit.htm
ешик	gram/zvuk/glpr.htm
ешләй	gram/syntax/predlojenie/skazuem.htm
еще	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnosochpredlsouz.htm
еңкә	gram/zvuk/izmen.htm
еүгә	gram/syntax/predlojenie/skazuem.htm
еүенсә	gram/morphol/glagol/deeprnagansa.htm
еүсе	gram/morphol/glagol/prichnastvr.htm;gram/morphol/suchestv/affik.htm;gram/syntax/predlojenie/skazuem.htm
еүҙән	gram/syntax/predlojenie/skazuem.htm
жирәбә	gram/zvuk/zv5.htm
жукири	gram/morphol/narechie/kornevye.htm
завязать	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
зажгло	gram/syntax/predlojenie/tipypredl/beslichpred.htm
зажмурить	gram/morphol/glagol/katpereh.htm
заправить	gram/alfavit/princpisma.htm;gram/morphol/glagol/affiks.htm;gram/morphol/glagol/obrslojgl.htm
зауыт	gram/zvuk/per.htm
зың-ҡ-ыр	gram/morphol/podrajslova/structpodrsl.htm
и-ре	gram/zvuk/glpr.htm
иблеслән	gram/morphol/glagol/affiks.htm
игендәр-е-беҙ-ҙе	gram/morphol/suchestv/grammkatsych/katprinad.htm
известно	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
изгелексел	gram/morphol/prilag/prodaffi.htm
ийат	gram/morphol/suchestv/affik.htm
икиз	gram/zvuk/sog.htm
иккәү	gram/morphol/chislit/kolchslit.htm
илгари	gram/morphol/narechie/kornevye.htm
илгири	gram/morphol/narechie/kornevye.htm
илебеҙдең	gram/syntax/predlojenie/skazuem.htm
илик	gram/zvuk/glpr.htm
илтиз	gram/zvuk/sog.htm
иль	gram/morphol/prilag/nulaffi.htm
илә-к	gram/fonomorph/fonproc.htm
имеет	algram/glagol.htm
имеш-м-имеш	gram/fonomorph/zvizmprired.htm
индениһә	gram/morphol/suchestv/grammkatsych/chislo.htm
инжү	gram/zvuk/glpr.htm
ини	gram/zvuk/glpr.htm
инәйберлә	gram/morphol/poslelogi/obchchar.htm
иптәш-тең	gram/zvuk/izmen.htm
иреммә	gram/zvuk/izmen.htm
иртән-ге	gram/zvuk/izmen.htm
иртәңге	gram/zvuk/izmen.htm;gram/zvuk/per.htm;gram/zvuk/zadneyaz.htm
иртәңке	gram/zvuk/izmen.htm
искрасы	gram/morphol/suchestv/affik.htm
ит-м-ит	gram/fonomorph/zvizmprired.htm
итештереберәк	gram/morphol/glagol/naklonpovel.htm
итәг-е-н-дә	gram/morphol/suchestv/grammkatsych/katopred.htm
ихтияр	gram/morphol/glagol/vnutriglaol.htm
ихтиярлы	gram/morphol/prilag/sostavprilag.htm
ихтиярһыҙ	gram/morphol/glagol/prichproshvr.htm
ический	gram/morphol/prilag/zaimaffi.htm
ичин	gram/morphol/poslelogi/obchchar.htm
иҙгәләк	gram/zvuk/izmen.htm
иҫке-р	gram/fonomorph/fonproc.htm
иһи	gram/morphol/mejdomet/mejdomet.htm
йазуҡла	gram/zvuk/glzr.htm
йай	gram/zvuk/glpr.htm
йай-е	gram/morphol/suchestv/affik.htm
йал	gram/morphol/prilag/neprodaffi.htm
йалп	gram/morphol/podrajslova/structpodrsl.htm
йалт-йолт	gram/zvuk/slog.htm
йан	gram/morphol/prilag/neprodaffi.htm
йарлуғ	gram/zvuk/glzr.htm
йарлы	gram/zvuk/glzr.htm
йаш	gram/zvuk/glzr.htm
йаңы	gram/zvuk/glzr.htm
йебәр	gram/zvuk/glpr.htm
йек	gram/zvuk/glpr.htm;gram/zvuk/udar.htm
йел	gram/zvuk/glpr.htm
йелек	gram/zvuk/glpr.htm
йелем	gram/zvuk/glpr.htm
йелкә	gram/zvuk/glpr.htm
йелтиз	gram/zvuk/sog.htm
йеләк	gram/alfavit/princpisma.htm;gram/zvuk/glpr.htm
йем	gram/zvuk/glpr.htm;gram/zvuk/sredneyaz.htm;gram/zvuk/udar.htm
йемер	gram/zvuk/glpr.htm
йемеш	gram/zvuk/glpr.htm
йеп	gram/zvuk/glpr2.htm
йер	gram/zvuk/glpr.htm
йерек	gram/zvuk/glpr.htm
йерән	gram/zvuk/glpr.htm
йет	gram/zvuk/glpr.htm
йете	gram/alfavit/princpisma.htm;gram/zvuk/glpr.htm
йетен	gram/zvuk/glpr.htm
йетмеш	gram/zvuk/glpr.htm
йеҙ	gram/zvuk/glpr.htm
йең	gram/zvuk/glpr.htm
йеңгә	gram/zvuk/glpr.htm
йеңел	gram/zvuk/glpr.htm
йимик	gram/morphol/poslelogi/obchchar.htm
йок	gram/morphol/narechie/kornevye.htm
йокомһора	gram/morphol/glagol/obchchar.htm
йомар-лаҡ	gram/fonomorph/fonproc.htm
йот-лоҡ	gram/zvuk/zv1.html
йоғ-он-то	gram/fonomorph/fonproc.htm
йоҡ-ҡару	gram/morphol/prilag/slojaffi.htm
йуан	gram/zvuk/glzr.htm
йул	gram/zvuk/sredneyaz.htm
йылы-т	gram/fonomorph/fonproc.htm
йып	gram/zvuk/glpr2.htm
йүгер-гелә	gram/morphol/glagol/vnutriglaol.htm
йһе	gram/morphol/glagol/moddolj.htm;gram/morphol/glagol/prichbudvr.htm
йһо	gram/morphol/glagol/moddolj.htm;gram/morphol/glagol/prichbudvr.htm
йһы	gram/morphol/glagol/moddolj.htm;gram/morphol/glagol/prichbudvr.htm
йһө	gram/morphol/glagol/moddolj.htm;gram/morphol/glagol/prichbudvr.htm
йә-м-йәшел	gram/fonomorph/zvizmprired.htm
йәк	gram/zvuk/glpr3.htm
йәмлен	gram/morphol/glagol/affiks.htm
йәсәк	gram/fonomorph/fonproc5.htm;gram/morphol/glagol/naklonsoslag.htm;gram/morphol/glagol/prichbudvr.htm
йәш-ерәк	gram/fonomorph/fonproc.htm
йәш-тәр	gram/fonomorph/fonproc.htm
йәшкел	gram/morphol/prilag/formyusil.htm
йөр	gram/morphol/glagol/katotritc.htm;gram/morphol/glagol/ponudzalog.htm;gram/morphol/glagol/vnutriglaol.htm;gram/zvuk/per.htm
йөр-ө-нө-м	gram/alfavit/princpisma.htm
