rank	word	occurrences	verdict	reason	example_ba	parallel_ru	corpus
16	шағиры	917	ложное срабатывание / формула	шағир ошибочно N06; нужна твёрдая парадигма N05	Тәүге битенә авар шағиры Рәсүл Ғамзатовтың «Ҡыҙҙар исеме йондоҙҙар балҡышына һәм гөл-сәскәләр нәфислегенә оҡшарға, ә ир-ат исемендә ҡылыстар сыңлауы һәм китап аҡылы сағылырға тейеш» тигән һүҙҙәрен теркәп ҡуйҙым.	На первой ее странице написала слова знаменитого аварского поэта Расула Гамзатова о том, что от имени девочки должен исходить свет звезды или нежность цветка, а в имени мужчины должны воплощаться звон сабель и мудрость книг.	https://t.me/bashkort_translate_bot
17	фатирлы	891	ложное срабатывание / формула	фатир ошибочно N06; нужна твёрдая парадигма N05	Дауахана төҙөлөп бөтөү менән, килгән йәш белгестәр өсөн тип, ике фатирлы ҙур ғына йорт һалып ҡуйғайнылар, шунан асҡыс бирҙеләр беҙгә.	Когда строили новую больницу, рядом возвели двухквартирный большой дом для молодых специалистов. Вот нам и дали ключи от одной квартиры.	https://t.me/bashkort_translate_bot
18	соц	883	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Йәнә ниндәй соц.-культ, объекттар индерҙегеҙ?	Какие еще предполагаются социально-культурные объекты?	https://t.me/bashkort_translate_bot
19	ғалимдар	865	ложное срабатывание / формула	ғалим ошибочно N02; нужна твёрдая парадигма N01	— 250 миллион йыл, ә таштағы һүрәттәргә – 14 мең йылдан ашыу, палеолит дәүере... – Туҡтаров һыңары саҡ ҡына туҡтап торҙо ла һорау ҡуйҙы: – ғалимдар 50-се йылдарҙа ғына күргәндәр шул һүрәттәрҙе, шуғаса ябай әҙәмдәр иғтибар итмәгәнме икән ни?	— 250 миллионов лет, а рисункам на ее стенах – более 14 тысяч лет, эра палеолита... – ответил наш всезнайка и задал вопрос: – Ученые обратили внимание на эти рисунки только в 50-х годах, неужели до этого здешние люди не замечали их?	https://t.me/bashkort_translate_bot
20	инек	854	ложное срабатывание / формула	форма вспомогательного ине отсутствует в парадигме, хотя подтверждена грамматикой	Әсәйем менән мин дә бәрәңге баҡсаһын утап сығып, сәй эсергә инеп кенә тора инек.	Мы с мамой только что закончили полоть картошку и зашли домой попить чаю.	https://t.me/bashkort_translate_bot
21	табибы	796	ложное срабатывание / формула	табип ошибочно N14; нужна N13 с п→б перед гласной	Мин – табип, ауыл табибы, киң профилле булырға бурыслымын.	Я – врач, сельский доктор, значит, обязан быть многопрофильным.	https://t.me/bashkort_translate_bot
22	паркы	772	ложное срабатывание / формула	N13 ошибочно озвончает к в группе -рк: паргы вместо паркы	Әхирәтем өс көн элек кенә шылтыратҡайны, бында йөҙҙәрсә гектар майҙанда Тәбиғәт паркы асылды, һиңә фотоларын һалып ебәрҙем, тип.	Подруга звонила недавно, сообщила, что у них открыли Природный парк на площади в несколько сот гектаров и что она уже послала мне фотографии.	https://t.me/bashkort_translate_bot
23	или	768	ошибка или иноязычная вставка корпуса	русский фрагмент внутри башкирской строки; расширять башкирскую морфологию не надо	Уйлап ҡараһаң, «Быть или не быть?» тигән мәңгелек һорау һәм һайлауға атаһы, бит эскелеге арҡаһында үҙ-үҙен бөторөүе менән: «Не быть», – тип яуап биргән...	Получается, на вечный вопрос и вечный выбор «Быть или не быть?» отец ответил самоуничтожением от пьянства – «Не быть...»	https://t.me/bashkort_translate_bot
24	аллы	763	ложное срабатывание / формула	раздельная часть нормативного үҙ аллы не покрыта словарём/классом основы ал	Ә инде дүртемә китеп, «шәп ҡатын» буласағым фаразланғас, мин хәбәрҙең айышын үҙ аллы аңғарырға өйрәндем.	А когда мне пошел четвертый год, и уже стало ясно, что из меня вырастет достойная женщина, я научилась догадываться о многом сама.	https://t.me/bashkort_translate_bot
25	иҡт	757	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	БДУ-ны тамамлағандан һуң (1977) СДПА-ла эшләй: 1999 йылдан алып — ситтән тороп уҡыу һәм иҡт. мәсьәләләре буйынса, 2006 й. ситтән тороп уҡыу һәм соц. мәсьәләләр буйынса проректор. 2006 й. декабренән ӨДАТУ-ның Стәрлетамаҡ ҡ. филиалында: директор урынбаҫары, 2010 й. башлап гуманитар һәм соц.-иҡт. фәндәр кафедра мөдире.	После окончания БГУ (1977) работала в СГПА: с 1999 проректор по заочному обучению и экон. вопросам, в 2006 — по заочному обучению и соц. вопросам. С декабря 2006 в филиале УГАТУ в г. Стерлитамак: заместитель директора, с 2010 заведующий кафедрой гуманитарных и соц.-экон. дисциплин.	bashkir encyclopedia
26	тарихын	716	ложное срабатывание / формула	та же неверная классификация тарих: N14 вместо N13	И, ҡәҙерлеләрем, Толпарлы Әдисәйе, уның тоғро Пенелопаһы, һеҙҙең мөхәббәтегеҙҙең тарихын бәйнә-бәйнә тергеҙәсәкмен!	Мои вы дорогие, Адисай из Тулпарлов и его верная Пенелопа, я еще увековечу историю вашей любви!	https://t.me/bashkort_translate_bot
27	адресы	693	ложное срабатывание / формула	адрес ошибочно N14; нужна твёрдая парадигма N13	Госпиталдең адресы бар, аҡса төйнәгәнем – яңы ғына туса һыйырҙы һаттым, картуфты тапшырҙым – йыйып йөрөнөләр.	Есть адрес госпиталя, деньги скопила – недавно продала яловую корову, сдала картошку перекупщикам.	https://t.me/bashkort_translate_bot
28	ҙың	685	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	Тарихтан билдәле «янычар»ҙың мәғәнәһе «яңы сар», йәғни яңы ғәскәр икәнен, мейемдә тыумыштан хасил хәтер компьютеры иҫкәртә һалды.	Известное из истории слово «янычар» означает «новое войско».	https://t.me/bashkort_translate_bot
29	табиптар	671	ложное срабатывание / формула	та же неверная классификация табип: N14 вместо N13	Лилиәгә төрлө мәсьәләләр менән күпләп килә башланылар: кемдер юғалған мал-тыуарын ҡайҙаныраҡ эҙләргә кәрәклеген һорай, кемдәрҙер баштарына төшкән бәлә-ҡазаның ниндәй гонаһтары өсөн ебәрелгәнен белергә теләй, күбеһе үҙҙәрен йылдар буйы яфалаған, әммә табиптар бер нисек тә дауалай алмаған сирҙәрҙән ҡотолорға өмөтләнеп мөрәжәғәт итә.	Кто-то просит посмотреть, куда запропастилась корова, кто-то хочет выяснить причины павшего на его голову несчастья, большинство же обращалось в надежде избавиться от болезней, годами мучающих их, но неподвластных врачебному лечению.	https://t.me/bashkort_translate_bot
30	ҙан	665	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	— Юҡ, һин «Пионер»ҙан уҙғанһың, мотлаҡ «Ленинсе»гә!	— Нет, ты уже переросла «Пионер», только в «Ленинец»!	https://t.me/bashkort_translate_bot
31	нач	654	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	1829 й. башлап Ырымбур айырым корпусының штаб нач. адъютанты, 1832 й. — өлкән адъютанты, 1835 й. — Ырымбур хәрби губернаторы адъютанты.	С 1829 адъютант, с 1832 ст. адъютант нач. штаба Отдельного Оренбургского корпуса, с 1835 адъютант оренб. воен. губернатора.	bashkir encyclopedia
32	басс	651	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	С.В.Семихатова Башҡортостан (Көньяҡ) Уралының Еҙем һәм Йүрүҙән йй. басс. Үрге Лука ҡасабаһы (Силәбе өлкәһе) янындағы Йүрүҙән й. типик киҫелеше булған һул ярында айырып күрһәтә (1934).	Выделен С.В.Семихатовой (1934) на Башкирском (Южном) Урале в басс. рр. Зилим и Юрюзань с типовым разрезом на левом берегу реки Юрюзань у п.Верхняя Лука (Челябинская область).	bashkir encyclopedia
33	авг	641	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Башҡорт әҙәбиәте һәм сәнғәте декадалары һәм көндәре Санкт-Петербургта (1964 й. 15— 22 июнендә, 1969 й. 6—10 окт., 2001 й. 3—10 июнендә), Мәскәүҙә (1987 й. 10—12 февр. һәм 1997 й. 19—24 майында); Украина ССР-ында (1970 й. 16—23 окт. һәм 1978 й. 19— 25 майында), Ҡаҙаҡ ССР-ында (1976 й. 15—22 окт.); ТАССР-ҙа (1960 й. 5—13 июнендә һәм 1989 й. 28 майы — 4 июнендә), Яҡут АССР-ында (1973 й. 20—27 июнендә һәм 1978 й. 19—26 июнендә), Сыуашстанда (1975 й. 25—30 майында һәм 2001 й. 15—17 окт.), Ҡарағалпаҡ АССР-ында (1976 й. 12—24 нояб.), Таулы Алтай авт. округында (1983 й. 31 июле — 6 авг.) һ.б., шулай уҡ Ҡурған, Пермь, Силәбе, Һарытау, Ырымбур өлк. һәм башҡорттар тупланып йәшәгән башҡа төбәктәрҙә (1960 й. алып); Истанбул ҡ. (2006 й. 2—5 июнендә) үткәрелә.	Декады и дни башкирской литературы и искусства состоялись в Санкт-Петербурге (15—22 июня 1964, 6—10 окт. 1969, 3—10 июня 2001), Москве (10—12 февр. 1987 и 19—24 мая 1997); Украинск. ССР (16—23 окт. 1970 и 19—25 мая 1978), Казахской ССР (15—22 окт. 1976); ТАССР (5—13 июня 1960 и 28 мая — 4 июня 1989), Якутской АССР (20—27 июня 1973 и 19—26 июня 1978), Чувашии (25—30 мая 1975 и 15—17 окт. 2001), Каракалпакской АССР (12—24 нояб. 1976), Горно-Алтайском авт. округе (31 июля — 6 авг. 1983) и др., а также в Курганской, Оренб., Пермской, Саратовской, Челяб. обл. и других регионах компактного проживания башкир (с 1960); г. Стамбул (2—5 июня 2006).	bashkir encyclopedia
34	акад	640	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Яңы император художество акад. (Мәскәү), БР Рәссамдар союзы, “Һәләтле балалар” коммерцияға ҡарамаған хәйриә фонды, Милли китапхана һ.б. менән хеҙмәттәшлек итә.	Сотрудничает с Новой Императорской Академией художеств (Москва), Союзом художников Республике Башкортостан, Благотворительным некоммерческим фондом “Одарённые дети”, Национальной библиотекой имени А.-З.Валиди и др.	bashkir encyclopedia
35	сент	617	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Башҡортостанда Татар әҙәбиәте аҙнаһы (1960 й. 25—31 майында); Яҡут әҙәбиәте һәм сәнғәте (1972 й. 10—20 майында),Ҡарағалпаҡ (1977 й. 12—17 июнендә), Ҡаҙаҡ (1977 й. 17— 22 авг.), Украин (1979 й. 24—30 июнендә) әҙәбиәттәре, Сыуаш мәҙәниәте (1982 й. 23— 29 майында), Таулы Алтай әҙәбиәте һәм мәҙәниәте (1982 й. 27—30 сент.), ТАССР әҙәбиәте һәм сәнғәте (1988 й. 30 майы — 4 июнендә) көндәре һ.б. үткәрелә.	В Башкортостане прошли Неделя татарской литературы (25—31 мая 1960); Дни якутской литературы и искусства (10—20 мая 1972), каракалпакской (12—17 июня 1977), казахской (17—22 авг. 1977), украинской (24—30 июня 1979) литератур, чувашской культуры (23—29 мая 1982), литературы и культуры Горного Алтая (27—30 сент. 1982), литературы и искусства ТАССР (30 мая — 4 июня 1988) и др.	bashkir encyclopedia
36	яуа	617	ложное срабатывание / формула	парадигма глагола яу не образует нормативное настоящее яуа	Аяҙ күктән көлтә-көлтә нур яуа.	С ясного неба золотым дождем льется солнечный свет.	https://t.me/bashkort_translate_bot
37	мед	612	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	60—80-се йй. Мессина ҡ. (Италия) Рәсәй пароходсылыҡ һәм сауҙа йәмғиәтендә, Императрица Мария опекунлыҡ советында хеҙмәт итә, Мәскәүҙә мед., белем биреү һәм попечителлек учреждениелары менән идара итә.	В 60—80-е гг. служил в Рос. об-ве пароходства и торговли в г. Мессина (Италия), Опекунском совете имп. Марии, заведовал мед., образоват. и попечит. учреждениями в Москве.	bashkir encyclopedia
38	тарихында	601	ложное срабатывание / формула	та же неверная классификация тарих: N14 вместо N13	Ғаләм ҡапҡаһын егерме беренсе быуат асып инде, ғәрәсәтле туҡһанынсы йылдар Рәсәй тарихында йылъяҙма булып ҡалды.	В ворота Вселенной постучался двадцать первый век, лихие девяностые остались в летописи России.	https://t.me/bashkort_translate_bot
39	ғин	586	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Көнө буйы шым йөрөгән, хатта ҡылыс таҡҡан, һары мыйыҡлы ике межевой, ғин туфлиҙарын ялтыратып, алтын погондарын саңдан ҡағып, ҙур текә кокардалы фуражкаларын төҙәтеп, ротмистр өҫтәле янына килделәр.	Не издавших за весь день ни одного звука два рыжеусых межевых чинов смахнули с золотых погон дорожную пыль, поправили фуражки с кокардой и, блистая кожаными туфлями, подошли к столу ротмистра.	https://t.me/bashkort_translate_bot
40	полкы	577	ложное срабатывание / формула	N13 ошибочно озвончает к в группе -лк: полгы вместо полкы	Ул арала тәүге төркөм татар атлыларын ҡасырға мәжбүр иткән Преображенский полкы ярҙамға килеп етте.	Подоспели на подмогу солдаты Преображенского полка, отбившие первую атаку татарской конницы.	https://t.me/bashkort_translate_bot
41	проф	559	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Б.т.р.я. билдәләре 1893 й. Дания проф. В.Томсен тарафынан асыҡлана; ҡомартҡыларҙың тәүге тәржемәләрен 1894 й. В.В.Радлов эшләй.	Знаки Д.р.п. были расшифрованы в 1893 датским проф. В.Томсеном; первые переводы памятников осуществлены в 1894 В.В.Радловым.	bashkir encyclopedia
42	паркында	558	ложное срабатывание / формула	та же ошибка сохранения к в -рк	Король паркында быуа бар.	В королевском парке есть пруд.	https://t.me/bashkort_translate_bot
43	ғалимдары	549	ложное срабатывание / формула	та же неверная классификация ғалим: N02 вместо N01	Заманында, ана, беҙҙең яҡтарға Яурупа ғалимдары, ғәрәп сәйәхтәре килгән.	Приезжали к нам и арабские путешественники, и европейские ученые.	https://t.me/bashkort_translate_bot
44	лаб	524	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	1974—92 йй. «“Ағиҙел” башҡорт сәнғәт әйберҙәре кәсебе» ПБ-нда эшләй: 1976 й. тиклем һәм 1991 йылдан алып рәссам, 1976 й. — баш рәссам вазифаһын башҡара, 1988 й. — тәж.-художество лаб. нач., 1990 й. — баш рәссам.	В 1974–92 работала в ПО «Башкирские художественные промыслы “Агидель”»: до 1976 и с 1991 художник, с 1976 и.о. главный художника, с 1988 нач. экспериментально-худ. лаборатории, с 1990 главный художник.	bashkir encyclopedia
45	керҙәшлек	523	ложное срабатывание / формула	не покрыта продуктивная деривационная цепочка керҙәш+ле+к	Башҡортостандың Рус дәүләтенә ҡушылыуынан һуң керҙәшлек институты формалаша; тау заводтары, ҡала, ҡәлғә, монастырҙар төҙөү өсөн ерҙәрҙе тартып алыу башлана; алпауыт, крәҫтиәндәр, хеҙмәтле кешеләрҙең һәм халыҡтың башҡа категорияларының община-бүлем һәм шәхси (Крәҫтиән реформаһы һәм Столыпин аграр реформаһынан һуң) Е.ф. үҫеш ала.	С присоединением Башкортостана к России формируется институт припуска, происходит отчуждение земель под строительство горных заводов, городов, крепостей, монастырей, получает развитие общинно-надельное и индивидуальное (после Крестьянской реформы 1861 и Столыпинской аграрной реформы) З. помещиков, крестьян, служилых людей и др. категорий населения.	bashkir encyclopedia
46	урынлыҡ	508	ложное срабатывание / формула	не покрыта продуктивная деривация урын+лыҡ	Мин дә Гамбургҡа барам, ике урынлыҡ купеға ике билет алғайным.	Дело в том, что я тоже еду в Гамбург и взял два билета в двухместном купе.	https://t.me/bashkort_translate_bot
47	февр	503	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Башҡорт әҙәбиәте һәм сәнғәте декадалары һәм көндәре Санкт-Петербургта (1964 й. 15— 22 июнендә, 1969 й. 6—10 окт., 2001 й. 3—10 июнендә), Мәскәүҙә (1987 й. 10—12 февр. һәм 1997 й. 19—24 майында); Украина ССР-ында (1970 й. 16—23 окт. һәм 1978 й. 19— 25 майында), Ҡаҙаҡ ССР-ында (1976 й. 15—22 окт.); ТАССР-ҙа (1960 й. 5—13 июнендә һәм 1989 й. 28 майы — 4 июнендә), Яҡут АССР-ында (1973 й. 20—27 июнендә һәм 1978 й. 19—26 июнендә), Сыуашстанда (1975 й. 25—30 майында һәм 2001 й. 15—17 окт.), Ҡарағалпаҡ АССР-ында (1976 й. 12—24 нояб.), Таулы Алтай авт. округында (1983 й. 31 июле — 6 авг.) һ.б., шулай уҡ Ҡурған, Пермь, Силәбе, Һарытау, Ырымбур өлк. һәм башҡорттар тупланып йәшәгән башҡа төбәктәрҙә (1960 й. алып); Истанбул ҡ. (2006 й. 2—5 июнендә) үткәрелә.	Декады и дни башкирской литературы и искусства состоялись в Санкт-Петербурге (15—22 июня 1964, 6—10 окт. 1969, 3—10 июня 2001), Москве (10—12 февр. 1987 и 19—24 мая 1997); Украинск. ССР (16—23 окт. 1970 и 19—25 мая 1978), Казахской ССР (15—22 окт. 1976); ТАССР (5—13 июня 1960 и 28 мая — 4 июня 1989), Якутской АССР (20—27 июня 1973 и 19—26 июня 1978), Чувашии (25—30 мая 1975 и 15—17 окт. 2001), Каракалпакской АССР (12—24 нояб. 1976), Горно-Алтайском авт. округе (31 июля — 6 авг. 1983) и др., а также в Курганской, Оренб., Пермской, Саратовской, Челяб. обл. и других регионах компактного проживания башкир (с 1960); г. Стамбул (2—5 июня 2006).	bashkir encyclopedia
48	нефтехимия	500	ложное срабатывание / покрытие словаря	нормативный современный термин, но основы нет в словаре	Әлеге көндә нефтехимия заводында инженер булып эшләй. Ҡатыны, ике балаһы менән дөйөм ятаҡта йәшәйҙәр.	Сейчас работает инженером на нефтехимическом заводе, живет с женой и двумя детьми в общежитии.	https://t.me/bashkort_translate_bot
49	дир	490	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	1994 йылдан алып саңғыла трамплиндан һикереү һәм саңғы буйынса икебәйге СДЮШОР-ының тренер-уҡытыусыһы, 2010 й. – 33-сө СДЮШОР дир. һәм бер үк ваҡытта БР йыйылма командаһының баш тренеры.	С 1994 тренер-преподаватель СДЮШОР по прыжкам на лыжах с трамплина и лыжному двоеборью, с 2010 дир. СДЮШОР №33 и одновременно главный тренер сборной команды РБ.	bashkir encyclopedia
50	муз	487	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Районда ПУ, 18 дөйөм белем биреү мәктәбе (шул иҫәптән Бүздәк урта мәктәбе №1), 33 мәктәпкәсә белем биреү учреждениеһы, балалар муз. мәктәбе, балалар сәнғәт мәктәбе, Балалар ижады йорто, ДЮСШ, физкультура-һауыҡтырыу комплексы; үҙәк район дауаханаһы һәм 2 дөйөм практика табибы бүлеге, 42 фельдшер-акушерлыҡ пункты; 44 клуб учреждениеһы, 28 китапхана, тарих-тыуған яҡты өйрәнеү музейы бар.	В районе действуют Буздякский сельскохоз. колледж, 24 общеобразовательных школы, в том числе Буздякская средняя школа №1, 28 дошкольных образоват. учреждений, дет. муз. школа, дет. школа искусств, физкультурно-оздоровит. комплекс с бассейном; центральная районная больница и 2 отделения врача общей практики, 42 фельдшерско-акушерских пункта; 43 клубных учреждения, 20 библиотек, историко-краеведч. музей.	bashkir encyclopedia
51	фаразлана	469	ложное срабатывание / формула	не покрыта продуктивная цепочка фараз+ла+н+а	Ер тетрәп, аҫҡы ҡатламда, әллә нисәмә километр тәрәнлектә, ятҡан таштар өҫкә ҡалҡып сыҡҡан, тип фаразлана.	Предполагается, что камни поднялись на поверхность земли из глубины в несколько километров во время землетрясения.	https://t.me/bashkort_translate_bot
52	гәз	467	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Редакция-нәшриәт институтында (Мәскәү, 1932), К.А.Тимирязев исемендәге Башҡорт педагогия институтында (1935—37) уҡыған. 1920 й. Һамар губерн. Диңгеҙбай а. уҡытыусы, 1926—27 йй. Ш.Хоҙайбирҙин исемендәге 1-се башҡорт мәктәпкәсә балалар йортоноң педагог-тәрбиәсеһе (Өфө), 1933—35 йй. Баймаҡ районы “Йылайыр” с-зының “Иген фабрикаһы” гәз. әҙәби хеҙмәткәре.	"Училась в Редакц.-издат. институте (Москва, 1932), Башкирском педагогическом институте имени К.А.Тимирязева (1935–37). В 1920 учитель в д. Денгизбаево Самарской губернии, в 1926–27 педагог-воспитатель баш. дошкольного дет. дома №1 имени Ш.Худайбердина (Уфа), в 1933–35 лит. сотрудник газеты “Иген фабрикаһы"" (“Зерновая фабрика"") с-за “Зилаирский"" Баймакского района."	bashkir encyclopedia
53	млрд	460	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Бөтә Ер шарының үҫемлектәре йыл һайын 100 млрд т тирәһе органик матдә барлыҡҡа килтерә. Уларҙың энергияһы 1,8 1018кДж-ға (45 •1017 ккал) тигеҙ. Был саҡта улар 1,7	Зеленые растения земного шара образуют в год около 100 млрд. т органических веществ, содержащих около 1,8 1018 кДж (45 1017 ккал) энергии.	https://t.me/bashkort_translate_bot
54	шағирҙың	455	ложное срабатывание / формула	та же неверная классификация шағир: N06 вместо N05	Әллә шағирҙың һүҙҙәре делегаттарға ныҡ тәьҫир итте, әллә һәр береһе үҙенең башҡа милләттән булған таныш-белешен иҫенә төшөрҙө, әллә бөгөнгө хөрриәттең йоғонтоһо көслө булды, – Салихтың тәҡдиме ныҡ ҡаршылыҡтар менән булһа ла үтте.	То ли слова поэта оказали сильное впечатление на делегатов, то ли каждый подумал о своих соседях другой национальности, или был высок авторитет президиума, но предложение о равенстве Салиха хоть и с сопротивлением, но прошло.	https://t.me/bashkort_translate_bot
55	тарихына	446	ложное срабатывание / формула	та же неверная классификация тарих: N14 вместо N13	Ошондай уҡ бүленеште Вәлиди дөйөм төрк тарихына ла файҙалана.	Такое разделение применяет Валиди и в трудах по истории тюрков.	https://t.me/bashkort_translate_bot
